end_time,artist_name,track_name,ms_played,id
2021-07-12 19:32,Queen,Don't Stop Me Now - Remastered 2011,209413,
2021-07-13 00:50,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),7295,
2021-07-13 01:31,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),311106,
2021-07-13 01:35,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),286110,
2021-07-13 02:53,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),12608,
2021-07-16 00:42,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),311106,
2021-07-18 02:44,Queen,Don't Stop Me Now - Remastered 2011,18880,
2021-07-22 02:41,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),311106,
2021-07-22 02:41,Queen,Don't Stop Me Now - Remastered 2011,3401,
2021-07-25 16:55,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),552301,
2021-07-29 02:04,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),11775,
2021-07-30 00:46,Joe Hisaishi,Merry-Go-Round(人生のメリーゴーランド),8448,
